--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
024.844  000.964  000.079: require('nvim-ts-autotag.config.plugin')
024.850  001.739  000.321: require('nvim-ts-autotag.internal')
024.852  002.592  000.853: require('nvim-ts-autotag')
025.102  000.071  000.071: require('nvim-treesitter.utils')
026.344  001.239  001.239: require('nvim-treesitter.parsers')
027.010  000.157  000.157: require('nvim-treesitter.compat')
027.234  000.135  000.135: require('nvim-treesitter.ts_utils')
027.245  000.230  000.095: require('nvim-treesitter.tsrange')
027.318  000.070  000.070: require('nvim-treesitter.caching')
027.333  000.639  000.181: require('nvim-treesitter.query')
027.353  000.823  000.185: require('nvim-treesitter.configs')
027.358  001.008  000.185: require('nvim-treesitter.info')
027.510  000.150  000.150: require('nvim-treesitter.shell_command_selectors')
027.569  002.664  000.195: require('nvim-treesitter.install')
027.647  000.076  000.076: require('nvim-treesitter.statusline')
027.740  000.090  000.090: require('nvim-treesitter.query_predicates')
027.745  002.891  000.062: require('nvim-treesitter')
027.748  005.549  000.066: sourcing /home/collins/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.lua
027.755  005.597  000.048: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
027.772  000.006  000.006: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
027.786  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
028.075  000.162  000.162: require('vim.iter')
028.837  000.985  000.824: sourcing /home/collins/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
028.845  001.025  000.040: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
028.855  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
028.875  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
029.032  000.151  000.151: require('core.treesitter')
032.014  000.089  000.089: require('nvim-treesitter.locals')
032.023  000.249  000.160: require('nvim-treesitter.incremental_selection')
032.132  000.067  000.067: require('nvim-treesitter.indent')
032.289  000.060  000.060: require('nvim-treesitter.highlight')
032.486  000.037  000.037: sourcing /home/collins/.local/share/nvim/lazy/nvim-treesitter/autoload/nvim_treesitter.vim
032.621  000.094  000.094: require('nvim-treesitter.fold')
032.771  000.006  000.006: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
032.786  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
032.905  000.112  000.112: require('ui.rose_pine')
035.160  000.083  000.083: require('rose-pine.config')
035.168  002.183  002.100: require('rose-pine')
036.192  000.272  000.272: require('rose-pine.utilities')
036.431  000.234  000.234: require('rose-pine.palette')
038.022  000.026  000.026: sourcing nvim_exec2() called at /home/collins/.local/share/nvim/lazy/rose-pine/colors/rose-pine.lua:0
038.028  002.214  001.683: sourcing /home/collins/.local/share/nvim/lazy/rose-pine/colors/rose-pine.lua
038.098  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.106  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.191  000.080  000.080: require('ui.notify')
065.989  000.148  000.148: require('notify.util.queue')
065.998  027.452  027.303: require('notify.util')
066.113  000.034  000.034: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
066.139  000.020  000.020: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
066.142  000.141  000.087: require('notify.config.highlights')
066.146  027.662  000.069: require('notify.config')
066.306  000.045  000.045: require('notify.stages')
066.557  000.248  000.248: require('notify.service.notification')
067.104  000.041  000.041: require('notify.animate.spring')
067.108  000.099  000.058: require('notify.animate')
067.114  000.554  000.455: require('notify.windows')
075.726  000.357  000.357: require('notify.service.buffer.highlights')
075.737  000.476  000.119: require('notify.service.buffer')
075.740  008.625  008.149: require('notify.service')
076.166  000.424  000.424: require('notify.stages.util')
076.174  010.026  000.130: require('notify.instance')
076.179  037.985  000.297: require('notify')
076.380  000.096  000.096: require('notify.stages.fade')
076.415  000.012  000.012: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
076.422  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
076.689  000.004  000.004: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
076.698  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
076.918  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
076.927  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
077.346  000.085  000.085: sourcing /home/collins/.local/share/nvim/lazy/mason-tool-installer.nvim/plugin/mason-tool-installer.lua
077.352  000.125  000.040: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
077.360  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
077.374  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
078.349  000.050  000.050: require('mason-core.functional.data')
078.425  000.070  000.070: require('mason-core.functional.function')
078.529  000.097  000.097: require('mason-core.functional.list')
078.650  000.067  000.067: require('mason-core.functional.relation')
078.718  000.063  000.063: require('mason-core.functional.logic')
078.794  000.072  000.072: require('mason-core.functional.number')
078.905  000.097  000.097: require('mason-core.functional.string')
079.009  000.096  000.096: require('mason-core.functional.table')
079.119  000.101  000.101: require('mason-core.functional.type')
079.126  000.913  000.198: require('mason-core.functional')
079.207  000.078  000.078: require('mason-core.path')
079.314  000.104  000.104: require('mason.settings')
079.392  001.271  000.176: require('mason-core.log')
079.398  001.369  000.098: require('mason-core.EventEmitter')
079.642  000.146  000.146: require('mason-core.platform')
079.650  000.248  000.102: require('mason-core.installer.InstallLocation')
079.742  000.090  000.090: require('mason-registry.sources')
079.751  001.919  000.212: require('mason-registry')
079.796  000.044  000.044: require('mason.version')
079.820  002.285  000.322: require('mason-tool-installer')
080.119  000.083  000.083: require('mason-lspconfig.settings')
080.127  000.189  000.106: require('mason-lspconfig')
081.754  000.078  000.078: require('mason-nvim-dap.mappings.source')
081.786  000.007  000.007: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
081.797  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
081.883  000.081  000.081: require('mason')
082.836  000.691  000.691: require('mason.api.command')
083.614  000.677  000.677: require('mason-core.async')
084.041  000.231  000.231: require('mason-core.async.control')
084.237  000.192  000.192: require('mason-core.result')
084.335  000.040  000.040: require('mason-core.async.uv')
084.342  000.100  000.059: require('mason-core.fs')
084.368  000.749  000.227: require('mason-registry.installer')
084.510  000.040  000.040: require('mason-core.optional')
084.697  000.103  000.103: require('mason-core.process')
084.752  000.053  000.053: require('mason-core.spawn')
084.756  000.200  000.045: require('mason-core.installer.managers.powershell')
084.759  000.247  000.047: require('mason-core.fetch')
084.797  000.036  000.036: require('mason-core.providers')
085.105  000.179  000.179: require('mason-core.purl')
085.119  000.239  000.061: require('mason-core.package.AbstractPackage')
085.391  000.066  000.066: require('mason-core.installer.compiler.expr')
085.400  000.132  000.067: require('mason-core.installer.compiler.link')
085.606  000.034  000.034: require('mason-core.installer.context.InstallContextCwd')
085.645  000.037  000.037: require('mason-core.installer.context.InstallContextFs')
085.680  000.033  000.033: require('mason-core.installer.context.InstallContextSpawn')
085.721  000.039  000.039: require('mason-core.receipt')
085.775  000.251  000.108: require('mason-core.installer.context')
085.777  000.287  000.035: require('mason-core.installer')
085.790  000.350  000.063: require('mason-core.installer.managers.std')
085.792  000.391  000.041: require('mason-core.installer.compiler.schemas')
